h3,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
891e064c823ffff,0,0,0,0,0,0,0,0,0,0
891e064c827ffff,0,0,0,0,0,0,0,0,0,0
891e064c82bffff,0,0,0,0,0,0,0,0,0,0
891e064c82fffff,0,0,0,0,0,0,0,0,0,0
891e064c833ffff,0,0,0,0,0,0,0,0,0,0
891e064c837ffff,0,0,0,0,0,0,0,0,0,0
891e064c863ffff,0,0,0,0,0,0,0,0,0,0
891e064c867ffff,0,0,0,0,0,0,1,1,1,0
891e064c86fffff,0,0,0,0,0,0,0,0,0,0
891e064c877ffff,0,0,0,0,0,0,0,0,0,0
891e064c8a3ffff,0,0,0,0,0,0,0,0,0,0
891e064c8a7ffff,0,0,0,0,0,0,0,0,0,0
891e064c8abffff,0,0,0,0,0,0,0,0,0,0
891e064c8afffff,0,0,0,0,0,0,0,0,0,0
891e064c8b3ffff,0,0,0,0,0,0,0,0,0,0
891e064c8b7ffff,0,0,0,0,0,0,0,0,0,0
891e064c903ffff,0,0,0,0,0,0,0,0,0,0
891e064c907ffff,0,0,0,0,0,0,0,0,0,0
891e064c90bffff,0,0,0,0,0,0,0,0,0,0
891e064c90fffff,0,0,0,0,0,0,1,1,0,0
891e064c913ffff,0,0,0,0,0,0,0,0,0,0
891e064c917ffff,0,0,0,0,0,0,0,0,0,0
891e064c91bffff,0,0,0,0,0,0,0,0,0,0
891e064c923ffff,0,0,0,0,0,0,0,0,0,0
891e064c927ffff,0,0,0,0,0,0,0,0,0,0
891e064c92bffff,0,0,0,0,0,0,1,1,0,0
891e064c92fffff,0,0,0,0,0,0,0,0,0,0
891e064c933ffff,0,0,0,0,0,0,0,0,0,0
891e064c937ffff,0,0,0,0,0,0,0,0,0,0
891e064c93bffff,0,0,0,0,0,0,0,0,0,0
891e064c943ffff,0,0,0,0,0,0,0,0,0,0
891e064c947ffff,0,0,0,0,0,0,0,0,0,0
891e064c94bffff,0,0,0,0,0,0,0,0,0,0
891e064c94fffff,0,0,0,0,0,0,0,0,0,0
891e064c953ffff,0,0,0,0,0,0,0,0,0,0
891e064c957ffff,0,0,0,0,0,0,0,0,0,0
891e064c95bffff,0,0,0,0,0,0,0,0,0,0
891e064c963ffff,0,2,0,0,0,0,0,2,0,0
891e064c967ffff,0,0,0,0,0,0,0,0,0,1
891e064c96bffff,0,0,0,0,0,0,0,0,0,0
891e064c96fffff,0,0,1,1,0,0,0,2,2,0
891e064c973ffff,0,0,0,0,0,0,0,0,0,0
891e064c977ffff,0,0,0,0,0,0,0,0,1,0
891e064c97bffff,0,0,0,0,0,0,0,0,0,0
891e064c983ffff,0,0,0,0,0,0,0,0,0,0
891e064c987ffff,0,0,0,0,0,0,0,0,0,0
891e064c98bffff,0,0,0,0,0,0,0,0,0,0
891e064c98fffff,0,0,0,0,0,0,0,0,0,0
891e064c993ffff,0,0,0,0,0,0,0,0,0,0
891e064c997ffff,0,0,0,0,0,0,0,0,0,0
891e064c99bffff,0,0,0,0,0,0,0,0,0,0
891e064c9a3ffff,0,0,0,0,0,0,0,0,0,0
891e064c9a7ffff,0,0,0,0,0,0,0,0,0,0
891e064c9abffff,0,0,0,0,0,0,0,0,0,0
891e064c9afffff,0,0,0,0,0,0,0,0,0,0
